Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,Paleo Honey Cake,eastern europe,87.32,258.25,259.21,10/16/2022,17:20:23,0.338,0.996
paleo,Chocolate Pumpkin Pie recipes,central europe,44.05,429.69,162.78,10/16/2022,17:20:23,0.103,2.64
paleo,Paleo Creamy Alfredo,american,16.48,32.46,91.36,10/16/2022,17:20:23,0.508,0.355
paleo,Paleo Blini recipes,eastern europe,15.5,12.78,23.29,10/16/2022,17:20:23,1.213,0.549
paleo,Paleo Tzimmes,kosher,16.11,236.88,3.86,10/16/2022,17:20:23,0.068,61.368
paleo,Paleo Pumpkin Bars,american,39.73,169.01,117.95,10/16/2022,17:20:23,0.235,1.433
paleo,Paleo Fruitcake,american,82.45,271.48,204.91,10/16/2022,17:20:23,0.304,1.325
paleo,Paleo Chocolate Frosting,american,14.19,85.18,150.26,10/16/2022,17:20:23,0.167,0.567
paleo,Paleo Crepes recipes,french,27.38,9.57,61.87,10/16/2022,17:20:29,2.861,0.155
paleo,Paleo Peach Crisp,french,39.58,126.88,97.83,10/16/2022,17:20:29,0.312,1.297
paleo,Paleo Pumpkin Bars,american,36.27,182.51,105.1,10/16/2022,17:20:29,0.199,1.737
paleo,Paleo Honey Cake,american,87.32,258.25,259.24,10/16/2022,17:20:29,0.338,0.996
paleo,Paleo Carrot Soup,american,27.17,116.73,125.14,10/16/2022,17:20:29,0.233,0.933
paleo,Paleo Fruitcake recipes,american,85.97,271.68,207.57,10/16/2022,17:20:29,0.316,1.309
paleo,Best Paleo Chili,american,193.11,83.93,227.24,10/16/2022,17:20:36,2.301,0.369
paleo,Perfect Paleo Pizza,italian,123.47,75.65,235.87,10/16/2022,17:20:36,1.632,0.321
paleo,Grain-Free Cauliflower Fried Rice recipes,chinese,37.54,56.92,53.88,10/16/2022,17:20:36,0.66,1.056
paleo,Paleo Chocolate Frosting recipes,american,7.27,112.19,269.91,10/16/2022,17:20:36,0.065,0.416
paleo,Paleo Eggplant Lasagna,italian,172.17,186.26,467.17,10/16/2022,17:20:36,0.924,0.399
paleo,Paleo Pecan Tart Crust,american,20.15,24.96,111.99,10/16/2022,17:20:36,0.807,0.223
paleo,Paleo Shepherd’s Pie,american,189.35,143.25,300.66,10/16/2022,17:20:36,1.322,0.476
paleo,Paleo Pie Crust recipes,american,56.39,43.01,143.87,10/16/2022,17:20:36,1.311,0.299
paleo,Paleo Mug Cake recipes,british,10.48,19.56,12.5,10/16/2022,17:20:36,0.536,1.565
paleo,Paleo Flourless Chocolate Cake,american,83.82,384.27,324.34,10/16/2022,17:20:36,0.218,1.185
paleo,Mini Paleo Egg Bites,american,118.36,6.54,61.57,10/16/2022,17:20:36,18.098,0.106
paleo,Egg-Free Paleo Macaroons,french,9.91,99.09,110.51,10/16/2022,17:20:36,0.1,0.897
paleo,Paleo Raw Chocolate Bites,american,46.07,261.6,147.5,10/16/2022,17:20:36,0.176,1.774
paleo,Paleo Mushroom Soup recipes,french,60.19,112.58,52.61,10/16/2022,17:20:43,0.535,2.14
paleo,Paleo Birthday Cake recipes,american,68.21,199.96,161.13,10/16/2022,17:20:43,0.341,1.241
paleo,Paleo Avocado Tuna Salad,mexican,32.45,24.27,31.05,10/16/2022,17:20:43,1.337,0.782
paleo,Paleo Honey Cake recipes,eastern europe,90.83,258.46,261.91,10/16/2022,17:20:43,0.351,0.987
paleo,Paleo Pumpkin Bars recipes,american,49.0,412.09,116.03,10/16/2022,17:20:43,0.119,3.552
paleo,Perfect Paleo Baked Salmon,nordic,161.95,1.17,160.83,10/16/2022,17:20:43,138.419,0.007
paleo,Chocolate Mousse (Paleo! Keto!),french,20.23,126.01,153.36,10/16/2022,17:20:43,0.161,0.822
paleo,Crab + Avocado Temaki recipes,caribbean,88.79,32.66,55.58,10/16/2022,17:20:50,2.719,0.588
paleo,Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes,american,9.65,42.63,83.92,10/16/2022,17:20:50,0.226,0.508
paleo,Paleo Prosciutto Egg Cups,italian,80.95,6.34,113.98,10/16/2022,17:20:50,12.768,0.056
paleo,Paleo Chicken Adobo recipes,mediterranean,123.17,61.52,107.7,10/16/2022,17:20:50,2.002,0.571
paleo,Cranberry Apple Stuffing,american,47.89,285.93,93.75,10/16/2022,17:20:50,0.167,3.05
paleo,Paleo Dirty Rice recipes,caribbean,26.68,80.75,35.37,10/16/2022,17:20:50,0.33,2.283
paleo,Slow-Cooker Paleo Meatballs,eastern europe,145.6,102.25,144.33,10/16/2022,17:20:50,1.424,0.708
paleo,Delicata Squash Stuffed with Spiced Meat and Tomatoes (serves 2) and a side of Sauteed Chard recipes,italian,100.74,92.07,360.57,10/16/2022,17:20:50,1.094,0.255
paleo,Paleo Pork Chili Verde,american,107.7,68.02,28.69,10/16/2022,17:20:50,1.583,2.371
paleo,Paleo Steak and Egg Salad,american,65.19,17.09,69.97,10/16/2022,17:20:50,3.815,0.244
paleo,Easy Paleo Beef with Broccoli,mediterranean,102.5,38.41,98.85,10/16/2022,17:20:50,2.669,0.389
paleo,Paleo Party Pork Carnitas,mexican,268.92,128.88,334.28,10/16/2022,17:20:50,2.087,0.386
paleo,Paleo Pecan Tart Crust recipes,american,21.03,25.01,112.66,10/16/2022,17:20:50,0.841,0.222
paleo,Paleo Shepherd's Pie recipes,american,189.35,143.25,300.66,10/16/2022,17:20:50,1.322,0.476
paleo,Paleo Vanilla Birthday Cake recipes,french,71.11,159.31,147.25,10/16/2022,17:20:56,0.446,1.082
paleo,Egg-Free Paleo Macaroons recipes,french,10.16,105.7,110.51,10/16/2022,17:20:56,0.096,0.956
paleo,Paleo Raw Chocolate Bites recipes,american,46.07,261.6,147.5,10/16/2022,17:20:56,0.176,1.774
paleo,Perfect Paleo Pie Crust recipes,american,43.97,104.37,160.83,10/16/2022,17:20:56,0.421,0.649
paleo,Practical Paleo: Mint Chip Truffles,american,3.76,23.94,80.65,10/16/2022,17:20:56,0.157,0.297
paleo,Cindy's Paleo Harvest Chili,american,210.45,139.56,272.52,10/16/2022,17:20:56,1.508,0.512
paleo,Instant Pot Paleo Pork Tenderloin,french,362.76,16.83,64.04,10/16/2022,17:20:56,21.554,0.263
paleo,Paleo Pecan-Crusted Chicken | everydaypaleo.com,american,258.66,55.59,103.91,10/16/2022,17:20:56,4.653,0.535
paleo,Entertain Meatloaf Style,american,197.94,70.1,110.07,10/16/2022,17:20:56,2.824,0.637
paleo,Semi-Homemade Paleo Spaghetti And Meatballs,italian,128.54,366.81,166.72,10/16/2022,17:20:56,0.35,2.2
paleo,Easy Paleo Herb Gravy recipes,french,23.56,39.05,42.25,10/16/2022,17:21:04,0.603,0.924
paleo,Homemade Mayo (Paleo and Whole30 Friendly!),italian,2.81,1.11,112.61,10/16/2022,17:21:04,2.532,0.01
paleo,Paleo and Vegan Pesto stuffed mushrooms,american,10.73,15.5,49.29,10/16/2022,17:21:04,0.692,0.314
paleo,Paleo Un-Stuffed Cabbage Soup,italian,141.27,55.82,198.73,10/16/2022,17:21:04,2.531,0.281
paleo,Sweet Potato Chili (Paleo-Friendly!),american,98.56,191.3,176.93,10/16/2022,17:21:04,0.515,1.081
paleo,Paleo Dirty Cauliflower ‘Rice’ Recipe,mediterranean,26.68,80.75,35.37,10/16/2022,17:21:04,0.33,2.283
paleo,Spicy Paleo Pumpkin Muffins recipes,british,121.84,413.93,317.39,10/16/2022,17:21:04,0.294,1.304
paleo,Paleo Cauliflower Bacon Fried Rice Recipe,chinese,28.76,50.01,48.09,10/16/2022,17:21:04,0.575,1.04
paleo,Paleo Beef and Sweet Potato Stew,american,200.82,153.82,102.62,10/16/2022,17:21:04,1.306,1.499
paleo,Paleo Comfort Foods’ Poached Pears recipes,french,9.82,214.27,3.04,10/16/2022,17:21:04,0.046,70.484
paleo,Madras Chicken Salad recipes,mediterranean,150.18,41.36,123.75,10/16/2022,17:21:04,3.631,0.334
paleo,Slow Cooker Cheater Pork Stew recipes,french,244.29,69.44,249.9,10/16/2022,17:21:04,3.518,0.278
paleo,Strawberry Rhubarb Crisp - and it's paleo. recipes,american,32.24,250.87,139.25,10/16/2022,17:21:04,0.129,1.802
paleo,Paleo Pasta Salad with Avocado Oil Vinaigrette,french,31.23,74.97,116.67,10/16/2022,17:21:04,0.417,0.643
paleo,The Paleo Diet’s Salmon Caesar Salad Recipe,nordic,155.95,49.31,150.25,10/16/2022,17:21:04,3.163,0.328
paleo,"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'",italian,32.32,157.39,194.11,10/16/2022,17:21:11,0.205,0.811
paleo,Southwest Cowboy Chili From 'Nom Nom Paleo',american,430.2,138.37,178.17,10/16/2022,17:21:11,3.109,0.777
paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,italian,1273.61,83.34,1608.54,10/16/2022,17:21:11,15.282,0.052
paleo,Paleo Doritos Toast Will Scratch Your Snack Itch,american,32.75,22.67,2.45,10/16/2022,17:21:11,1.445,9.253
paleo,"Paleo Pumpkin, Coconut, & Maple Custard Cups recipes",american,36.0,142.79,107.74,10/16/2022,17:21:11,0.252,1.325
paleo,Paleo Spaghetti Squash and Amped Up Meatballs,italian,128.33,154.22,125.77,10/16/2022,17:21:11,0.832,1.226
paleo,Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes,nordic,65.78,96.23,130.86,10/16/2022,17:21:11,0.684,0.735
paleo,The Paleo Kitchen’s Honey Mustard Chicken Thighs recipes,french,152.56,53.59,205.36,10/16/2022,17:21:11,2.847,0.261
paleo,Stupid Easy Paleo’s Kickin’ BBQ Shredded Chicken recipes,american,283.7,78.55,252.1,10/16/2022,17:21:11,3.612,0.312
paleo,Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,nordic,6.45,66.8,42.58,10/16/2022,17:21:11,0.097,1.569
paleo,Orange Sriracha Chicken recipes,south east asian,104.17,82.97,64.82,10/16/2022,17:21:11,1.256,1.28
paleo,Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,american,12.77,112.92,56.84,10/16/2022,17:21:11,0.113,1.987
paleo,Paleo Pumpkin Gingerbread Cake with Maple-Vanilla Frosting recipes,american,73.83,185.59,307.46,10/16/2022,17:21:11,0.398,0.604
paleo,"Sweet Potato & Pork Thanksgiving Stuffing (Paleo, Gluten-Free) recipes",american,197.91,312.15,371.5,10/16/2022,17:21:11,0.634,0.84
paleo,Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,italian,102.47,51.64,54.82,10/16/2022,17:21:11,1.984,0.942
paleo,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",american,14.26,79.07,109.53,10/16/2022,17:21:11,0.18,0.722
paleo,Dill Butternut Squash Fries,american,7.68,89.2,14.38,10/16/2022,17:21:11,0.086,6.203
paleo,Crispy Sweet Potato Fries,south american,4.4,56.19,28.84,10/16/2022,17:21:18,0.078,1.948
paleo,Rosemary and Garlic Parsnip Mash,american,3.34,48.53,13.6,10/16/2022,17:21:18,0.069,3.568
paleo,Four Layer Beef and Bacon Casserole,american,213.63,149.66,298.56,10/16/2022,17:21:18,1.427,0.501
paleo,Boston Baked Beef,american,135.99,193.85,232.95,10/16/2022,17:21:18,0.702,0.832
paleo,Nutella Brownie Truffles,french,12.21,151.95,98.75,10/16/2022,17:21:18,0.08,1.539
paleo,Best Ever Bars,american,62.76,194.9,266.67,10/16/2022,17:21:18,0.322,0.731
paleo,Salmon Cakes,nordic,86.31,11.17,66.45,10/16/2022,17:21:18,7.727,0.168
paleo,Crockpot Italian Chicken and Peppers,italian,86.07,84.94,43.04,10/16/2022,17:21:18,1.013,1.974
paleo,Herbed Rack of Lamb,middle eastern,35.36,6.76,133.82,10/16/2022,17:21:18,5.231,0.051
paleo,Moroccan Braised Chicken and Kale,middle eastern,283.65,89.99,306.29,10/16/2022,17:21:18,3.152,0.294
paleo,Roasted Tomato Soup,italian,39.32,88.7,50.97,10/16/2022,17:21:18,0.443,1.74
paleo,Sweet Plantain Guacamole,south american,19.18,134.0,138.71,10/16/2022,17:21:18,0.143,0.966
paleo,Turkey Spaghetti Zoodles,american,122.69,96.81,51.15,10/16/2022,17:21:18,1.267,1.893
paleo,Celery Leaf & Fennel Poached Salmon,nordic,32.41,17.25,24.49,10/16/2022,17:21:18,1.879,0.704
paleo,Turkey Veggie Meatballs With Spaghetti Squash,american,122.78,147.94,51.84,10/16/2022,17:21:24,0.83,2.854
paleo,Asian Sesame Chicken & Broccoli,chinese,107.67,31.95,70.25,10/16/2022,17:21:24,3.37,0.455
paleo,Cauliflower Fried Rice,chinese,46.62,82.76,53.47,10/16/2022,17:21:24,0.563,1.548
paleo,Khoresht Lubia Sabz (Persian Green Bean Stew),american,121.29,69.51,49.55,10/16/2022,17:21:24,1.745,1.403
paleo,Cinnamon Chocolate Swirl Banana Bread,american,68.73,266.84,183.04,10/16/2022,17:21:24,0.258,1.458
paleo,Easy Pan Gravy,british,0.32,6.54,11.65,10/16/2022,17:21:24,0.049,0.561
paleo,Salsa Fresca estilo Siete,mexican,4.94,33.55,1.11,10/16/2022,17:21:24,0.147,30.225
paleo,Ginger Snap Pumpkin Butter Cookie Sandwiches,american,97.78,239.78,356.65,10/16/2022,17:21:24,0.408,0.672
paleo,Cauliflower Soup Drizzled with White Truffle Oil,french,41.9,64.07,37.95,10/16/2022,17:21:24,0.654,1.688
paleo,Apple Pumpkin Soup,american,9.95,64.53,19.56,10/16/2022,17:21:24,0.154,3.299
paleo,Easy Vegan Pad Thai Supreme,american,97.94,217.78,168.32,10/16/2022,17:21:24,0.45,1.294
paleo,Beef Chorizo con Huevo estilo Siete,mediterranean,133.92,12.88,92.88,10/16/2022,17:21:24,10.398,0.139
paleo,Angel Food Cake,american,55.09,283.94,5.02,10/16/2022,17:21:24,0.194,56.562
paleo,Asian Chicken Salad,asian,69.61,44.66,128.44,10/16/2022,17:21:24,1.559,0.348
paleo,Roasted Beef Tenderloin,american,349.89,10.57,130.34,10/16/2022,17:21:24,33.102,0.081
paleo,"Kale, Artichoke and Pecorino Salad",mediterranean,36.98,40.42,58.68,10/16/2022,17:21:24,0.915,0.689
paleo,Spicy Thai Peanut Kelp Noodle Pad Thai,south east asian,92.67,357.52,68.86,10/16/2022,17:21:24,0.259,5.192
paleo,Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,american,191.06,25.06,137.85,10/16/2022,17:21:24,7.624,0.182
paleo,Artichoke Francaise,mediterranean,35.81,127.03,62.87,10/16/2022,17:21:31,0.282,2.021
paleo,Braised Short Rib Bolognese,italian,242.69,59.62,607.18,10/16/2022,17:21:31,4.071,0.098
paleo,Maialino's Olive Oil Cake (Adapted by Becca Fox),american,72.45,479.49,468.3,10/16/2022,17:21:31,0.151,1.024
paleo,Homemade Ravioli with Ricotta Cheese and Spinach Filling,italian,118.65,300.0,107.45,10/16/2022,17:21:31,0.396,2.792
paleo,Boneless Short Ribs on the BGE,french,392.64,12.51,472.92,10/16/2022,17:21:31,31.386,0.026
paleo,Ribollita,italian,66.67,180.22,111.67,10/16/2022,17:21:31,0.37,1.614
paleo,Pear and Apple Coffeecake with Walnut Topping,british,68.86,309.13,384.74,10/16/2022,17:21:31,0.223,0.803
paleo,Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,mediterranean,22.61,68.6,103.89,10/16/2022,17:21:31,0.33,0.66
paleo,Indian Spiced Broccoli and Potato Hash,nordic,9.39,47.36,10.47,10/16/2022,17:21:31,0.198,4.523
paleo,Vegan Dark Chocolate Coconut Tart,american,32.24,221.1,103.54,10/16/2022,17:21:31,0.146,2.135
paleo,Pork and Charred Brussels Sprouts with Chile Lime Sauce,south american,145.56,240.17,89.14,10/16/2022,17:21:31,0.606,2.694
paleo,Apple Fennel Casserole with a Coconut-Turmeric Twist,italian,5.6,46.5,18.34,10/16/2022,17:21:31,0.12,2.535
paleo,Slow-Cooker 'Osso Buco' Stew,italian,211.11,94.79,61.46,10/16/2022,17:21:31,2.227,1.542
paleo,Vegan Coconut Cream Tart with White Peaches and Blueberries,american,39.45,285.88,109.49,10/16/2022,17:21:31,0.138,2.611
paleo,Spiced Harvest Cake,british,65.92,455.58,158.29,10/16/2022,17:21:31,0.145,2.878
paleo,Paleo MeeNut™ Butter Sandwich on Paleo Bread™,american,0.93,3.08,24.31,10/16/2022,17:21:38,0.302,0.127
paleo,Low Carb Paleo Egg Wrap Recipe,american,16.71,28.5,15.85,10/16/2022,17:21:38,0.586,1.798
paleo,Paleo Nutella Banana Ice Cream,american,7.86,186.18,30.1,10/16/2022,17:21:38,0.042,6.185
paleo,Paleo Whole30 Pesto Chicken Salad,american,176.97,10.7,206.48,10/16/2022,17:21:38,16.539,0.052
paleo,The Elvis Paleo Sandwich Recipe,american,18.72,68.14,54.08,10/16/2022,17:21:38,0.275,1.26
paleo,Simple Paleo Reese’s Cups,american,69.56,157.94,257.36,10/16/2022,17:21:38,0.44,0.614
paleo,Paleo Meatloaf recipes,american,216.95,203.73,178.18,10/16/2022,17:21:38,1.065,1.143
paleo,Paleo Nacho Casserole,mexican,156.83,88.03,167.6,10/16/2022,17:21:38,1.782,0.525
paleo,Simple Paleo Coleslaw Dressing,mediterranean,6.76,17.01,89.82,10/16/2022,17:21:38,0.397,0.189
paleo,Paleo Bread Stuffing recipes,american,54.96,208.13,49.2,10/16/2022,17:21:44,0.264,4.23
paleo,Paleo deviled egg recipe,french,32.74,3.08,69.22,10/16/2022,17:21:44,10.63,0.044
paleo,Paleo Peppermint Bark,american,30.23,191.35,235.63,10/16/2022,17:21:44,0.158,0.812
paleo,Paleo Chipotle Dipping Sauce,mexican,2.14,15.79,116.27,10/16/2022,17:21:44,0.136,0.136
paleo,Paleo Wrap Carne Asada Recipe,mexican,159.24,75.82,62.53,10/16/2022,17:21:44,2.1,1.213
paleo,Homemade Paleo Protein Bars,american,368.04,500.49,210.84,10/16/2022,17:21:44,0.735,2.374
paleo,Paleo Tzatziki,mediterranean,2.82,17.07,13.93,10/16/2022,17:21:44,0.165,1.225
paleo,Paleo Pecan Pie Bars recipes,american,105.25,594.23,700.42,10/16/2022,17:21:44,0.177,0.848
paleo,Loaded Paleo Cauliflower Nachos recipes,mexican,52.93,75.7,131.7,10/16/2022,17:21:44,0.699,0.575
paleo,Gluten-Free Paleo Meatloaf recipes,eastern europe,170.21,136.35,196.93,10/16/2022,17:21:44,1.248,0.692
paleo,Paleo Broccoli Salad recipes,american,22.75,124.99,146.91,10/16/2022,17:21:44,0.182,0.851
paleo,Healthy Paleo Marble Cake recipes,american,42.18,245.32,90.32,10/16/2022,17:21:44,0.172,2.716
paleo,Paleo Deviled Eggs recipes,french,87.75,10.06,163.03,10/16/2022,17:21:51,8.723,0.062
paleo,Paleo Meatball Sub,american,57.04,62.66,77.65,10/16/2022,17:21:51,0.91,0.807
paleo,Paleo Egg Salad recipes,american,35.77,30.22,88.57,10/16/2022,17:21:51,1.184,0.341
paleo,"Caramel Caffe Latte (paleo, GF, dairy-free) recipes",american,3.28,32.7,15.37,10/16/2022,17:21:51,0.1,2.128
paleo,Smoky Paleo Deviled Eggs recipes,french,34.1,8.47,69.53,10/16/2022,17:21:51,4.026,0.122
paleo,Paleo Barbecue Beef and Bacon recipes,american,114.04,148.84,128.75,10/16/2022,17:21:51,0.766,1.156
paleo,Paleo Pad Thai with Zucchini Noodles,south east asian,3.5,40.81,0.36,10/16/2022,17:21:51,0.086,113.361
paleo,Paleo Sunbutter Cups recipes,french,0.1,32.29,27.63,10/16/2022,17:21:51,0.003,1.169
paleo,Paleo Quiche Cups,french,59.38,43.71,82.41,10/16/2022,17:21:51,1.358,0.53
paleo,Paleo Pecan Pie,american,41.28,497.12,285.89,10/16/2022,17:21:51,0.083,1.739
paleo,Paleo Smoked Tuna Salad recipes,american,24.83,19.77,90.32,10/16/2022,17:21:51,1.256,0.219
paleo,Paleo Lemon Mousse,french,17.82,77.84,84.12,10/16/2022,17:21:58,0.229,0.925
paleo,Paleo Aioli Salad Dressing,mediterranean,0.53,2.32,44.57,10/16/2022,17:21:58,0.228,0.052
paleo,Paleo Flourless Chocolate Cake recipes,american,80.48,404.46,410.21,10/16/2022,17:21:58,0.199,0.986
paleo,Paleo Flourless Chocolate Cake,american,55.16,123.66,244.31,10/16/2022,17:21:58,0.446,0.506
paleo,Paleo Chicken Salad with Dates & Walnuts {Whole30} recipes,mediterranean,97.63,88.59,98.0,10/16/2022,17:21:58,1.102,0.904
paleo,Paleo Blackberry Muffins recipes,american,43.48,81.37,88.44,10/16/2022,17:21:58,0.534,0.92
paleo,Paleo Crockpot Cashew Chicken recipes,italian,165.31,78.63,220.89,10/16/2022,17:21:58,2.102,0.356
paleo,Paleo Blackberry Instant Pot Cobbler,french,33.01,287.56,114.66,10/16/2022,17:21:58,0.115,2.508
paleo,Paleo Banana Bread French Toast,french,21.23,203.11,42.55,10/16/2022,17:21:58,0.105,4.773
paleo,Three-Ingredient Paleo Chocolate Truffles,french,23.43,183.78,200.78,10/16/2022,17:21:58,0.127,0.915
paleo,Toasted Egg Fiesta Paleo Wrap (Ketogenic),american,13.92,32.74,26.53,10/16/2022,17:21:58,0.425,1.234
paleo,Paleo Beef Stroganoff,eastern europe,215.13,36.63,68.05,10/16/2022,17:21:58,5.873,0.538
paleo,Paleo Whole30 Classic Egg Salad recipes,american,61.5,8.58,184.92,10/16/2022,17:21:58,7.168,0.046
paleo,Easy Paleo Meatloaf with Bacon,american,203.61,23.57,166.41,10/16/2022,17:21:58,8.639,0.142
paleo,"Gluten Free Beef and Tomato {Chinese Style, Paleo Option} recipes",chinese,107.83,56.13,81.39,10/16/2022,17:21:58,1.921,0.69
paleo,"Buffalo Ranch Chicken Salad Recipe {Paleo, Whole30 Compliant} recipes",american,145.57,27.22,152.88,10/16/2022,17:22:05,5.348,0.178
paleo,Paleo Crock Pot Pulled Pork recipes,american,255.11,99.29,170.32,10/16/2022,17:22:05,2.569,0.583
paleo,Papaya Chicken Paleo Wrap,british,40.75,33.63,35.28,10/16/2022,17:22:05,1.212,0.953
paleo,Paleo Vegan Enchilada Casserole,american,96.62,331.56,21.46,10/16/2022,17:22:05,0.291,15.45
paleo,"Blueberry Almond Mug Cake (Paleo, Gluten Free)",american,14.22,33.55,34.47,10/16/2022,17:22:05,0.424,0.973
paleo,Paleo Bang Bang Shrimp recipes,japanese,91.88,3.34,163.16,10/16/2022,17:22:05,27.509,0.02
paleo,"Creamy Roasted Sesame Dressing (Paleo, Whole30, Keto)",mediterranean,3.3,13.24,57.69,10/16/2022,17:22:05,0.249,0.23
paleo,Paleo Ranch Dressing and Dip recipes,american,1.77,5.8,190.1,10/16/2022,17:22:05,0.305,0.031
paleo,Smoked Salmon Paleo Wrap Bites,nordic,34.01,82.25,27.63,10/16/2022,17:22:05,0.413,2.977
paleo,Paleo Meatloaf,american,283.04,85.83,108.96,10/16/2022,17:22:05,3.298,0.788
paleo,Dairy-free Paleo Ranch Dressing,american,5.63,10.85,226.21,10/16/2022,17:22:05,0.519,0.048
paleo,Paleo Banana Chip Muffins recipes,american,95.83,139.93,188.95,10/16/2022,17:22:05,0.685,0.741
paleo,Creamy (yet Paleo) Cucumber Salad recipes,american,3.23,17.66,45.05,10/16/2022,17:22:12,0.183,0.392
paleo,Bunless Paleo Chicken BLTs recipes,american,97.48,19.3,119.43,10/16/2022,17:22:12,5.051,0.162
paleo,"Frittata with Sweet Potato, Sausage and Caramelized Onions (Paleo, Grain-Free) recipes",italian,126.61,109.21,188.1,10/16/2022,17:22:12,1.159,0.581
paleo,Paleo Tangy BBQ Pulled Pork,american,244.91,263.45,61.97,10/16/2022,17:22:12,0.93,4.251
paleo,Paleo Crab Cakes recipes,french,97.65,19.1,76.38,10/16/2022,17:22:12,5.113,0.25
paleo,Simple Paleo Coleslaw recipes,mediterranean,14.52,80.91,90.39,10/16/2022,17:22:12,0.179,0.895
paleo,"3 Ingredient Chocolate Walnut Fudge (Paleo, Vegan, Gluten Free, Dairy-Free)",american,48.8,126.11,160.21,10/16/2022,17:22:12,0.387,0.787
